Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Risk
0.06499582289,0.5227272727,0.04917647059,1,0.04917647059,0.001976862798,0.3333333333,0.0006589542659,0.005264360751,0.5555555556,0.3333333333,0.1851851852,0.003614857277,0.3333333333,0.001204952426,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.4615384615,0.01070061977,0.06896551724,1,0.001783436629,1
0.06499582289,0.1363636364,0,0.3333333333,0,0.003819298925,0.3333333333,0.001273099642,0.003806416531,0.5555555556,0.3333333333,0.1851851852,0.001005315337,0.3333333333,0.0003351051125,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.3846153846,0.003187471763,0.06896551724,1,0.0005312452939,0
0.06499582289,0.1363636364,0.006,0.3333333333,0.002,0.0001818713774,0.3333333333,0.00006062379247,0.0005831776879,0.5555555556,0.3333333333,0.1851851852,0,0.3333333333,0,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.3846153846,0.001931952345,0.06896551724,1,0.0003219920575,0
0.06499582289,0.1363636364,0,0.3333333333,0,0.008540047287,1,0.008540047287,0.008511241932,0.6666666667,1,0.6666666667,0.01256644172,1,0.01256644172,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.8461538462,0.02187798747,0.06896551724,1,0.003646331246,1
0.06499582289,0.1363636364,0,0.3333333333,0,0.00006325960953,0.3333333333,0.00002108653651,0.00006304623653,0.5555555556,0.3333333333,0.1851851852,0,0.3333333333,0,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.3846153846,0.001767212223,0.06896551724,1,0.0002945353705,0
0.06499582289,0.1363636364,0,0.3333333333,0,0.0006563184489,0.3333333333,0.0002187728163,0.000654104704,0.5555555556,0.3333333333,0.1851851852,0.003154978985,0.3333333333,0.001051659662,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.3846153846,0.002690755333,0.06896551724,1,0.0004484592222,0
0.06499582289,0.1590909091,0.01294117647,0.6666666667,0.00862745098,0.005859421333,0.6666666667,0.003906280888,0.006706543411,0.5555555556,0.3333333333,0.1851851852,0.04807332385,1,0.04807332385,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.6153846154,0.03965494433,0.06896551724,1,0.006609157388,1
0.06499582289,0.1818181818,0.1,1,0.1,0.009512663783,1,0.009512663783,0.01617924045,0.6111111111,0.6666666667,0.4074074074,0.008331283488,0.6666666667,0.005554188992,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.8076923077,0.02250699522,0.06896551724,1,0.003751165869,1
0.06499582289,0.1818181818,0.09882352941,1,0.09882352941,0.008737733566,1,0.008737733566,0.01532811626,0.6111111111,0.6666666667,0.4074074074,0.007850015508,0.6666666667,0.005233343672,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.8076923077,0.02147362536,0.06896551724,1,0.003578937559,1
0.06499582289,0.1818181818,0.04682352941,1,0.04682352941,0.0007828376679,0.3333333333,0.0002609458893,0.003916747445,0.5555555556,0.3333333333,0.1851851852,0.002064104895,0.3333333333,0.000688034965,0.3333333333,0.3333333333,0.1666666667,0,0.3333333333,0,0.4615384615,0.005456392541,0.06896551724,1,0.0009093987568,0
